state,state_abr,votes,market
Alabama,AL,9,6625
Alaska,AK,3,6591
Arizona,AZ,11,5596
Arkansas,AR,6,6597
California,CA,55,6611
Colorado,CO,9,5605
Connecticut,CT,7,6587
Delaware,DE,3,6636
District of Columbia,DC,3,6644
Florida,FL,29,5544
Georgia,GA,16,5604
Hawaii,HI,4,6631
Idaho,ID,4,6623
Illinois,IL,20,6613
Indiana,IN,11,6572
Iowa,IA,6,5603
Kansas,KS,6,6627
Kentucky,KY,8,6592
Louisiana,LA,8,6617
Maine,ME-01,1,6647
Maine,ME-02,1,6190
Maine,ME,2,6571
Maryland,MD,10,6593
Massachusetts,MA,11,6596
Michigan,MI,16,6631
Minnesota,MN,10,5597
Mississippi,MS,6,6628
Missouri,MO,10,6581
Montana,MT,3,6606
Nebraska,NE-01,1,6645
Nebraska,NE-02,1,6608
Nebraska,NE-03,1,6646
Nebraska,NE,2,6624
Nevada,NV,6,5601
New Hampshire,NH,4,5598
New Jersey,NJ,14,6580
New Mexico,NM,5,6573
New York,NY,29,6612
North Carolina,NC,15,5599
North Dakota,ND,3,6637
Ohio,OH,18,5600
Oklahoma,OK,7,6616
Oregon,OR,7,6582
Pennsylvania,PA,20,5543
Rhode Island,RI,4,6629
South Carolina,SC,9,6609
South Dakota,SD,3,6638
Tennessee,TN,11,6586
Texas,TX,38,5798
Utah,UT,6,6585
Vermont,VT,3,6633
Virginia,VA,13,5602
Washington,WA,12,6598
West Virginia,WV,5,6615
Wisconsin,WI,10,5542
Wyoming,WY,3,6632
